DOID	Metab
DOID:13922	HMDB0000162
DOID:9256	HMDB0000163
DOID:13922	HMDB0000163
DOID:8778	HMDB0000164
DOID:13922	HMDB0000164
DOID:9970	HMDB0000167
DOID:9273	HMDB0000167
DOID:5419	HMDB0000167
DOID:9256	HMDB0000167
DOID:8778	HMDB0000167
DOID:12849	HMDB0000167
DOID:7148	HMDB0000167
DOID:1793	HMDB0000167
DOID:3388	HMDB0000167
DOID:9255	HMDB0000167
DOID:10652	HMDB0000167
DOID:13922	HMDB0000167
DOID:9256	HMDB0000168
DOID:5419	HMDB0000168
DOID:10652	HMDB0000168
DOID:10608	HMDB0000168
DOID:8778	HMDB0000168
DOID:13189	HMDB0000168
DOID:9255	HMDB0000168
DOID:1485	HMDB0000168
DOID:13922	HMDB0000168
DOID:9256	HMDB0000169
DOID:13922	HMDB0000169
DOID:10652	HMDB0000172
DOID:9269	HMDB0000172
DOID:9256	HMDB0000172
DOID:9269	HMDB0000172
DOID:0090126	HMDB0000172
DOID:5419	HMDB0000172
DOID:8778	HMDB0000172
DOID:12849	HMDB0000172
DOID:1793	HMDB0000172
DOID:3388	HMDB0000172
DOID:9255	HMDB0000172
DOID:13922	HMDB0000172
DOID:9256	HMDB0000174
DOID:13922	HMDB0000174
DOID:8778	HMDB0000175
DOID:10652	HMDB0000177
DOID:9256	HMDB0000177
DOID:5419	HMDB0000177
DOID:9970	HMDB0000177
DOID:0060168	HMDB0000177
DOID:10608	HMDB0000177
DOID:12849	HMDB0000177
DOID:8778	HMDB0000177
DOID:1793	HMDB0000177
DOID:3388	HMDB0000177
DOID:9255	HMDB0000177
DOID:14755	HMDB0000177
DOID:14701	HMDB0000177
DOID:0050726	HMDB0000177
DOID:9281	HMDB0000177
DOID:9269	HMDB0000177
DOID:13922	HMDB0000177
DOID:10652	HMDB0000181
DOID:0111168	HMDB0000181
DOID:13922	HMDB0000181
DOID:0090123	HMDB0000181
DOID:10652	HMDB0000182
DOID:5419	HMDB0000182
DOID:0060439	HMDB0000182
DOID:0060168	HMDB0000182
DOID:9273	HMDB0000182
DOID:3651	HMDB0000182
DOID:0050574	HMDB0000182
DOID:8778	HMDB0000182
DOID:9256	HMDB0000182
DOID:12849	HMDB0000182
DOID:1793	HMDB0000182
DOID:3388	HMDB0000182
DOID:9255	HMDB0000182
DOID:9280	HMDB0000182
DOID:14701	HMDB0000182
DOID:0050726	HMDB0000182
DOID:13922	HMDB0000182
DOID:9266	HMDB0000182
DOID:9274	HMDB0000182
DOID:13922	HMDB0000186
DOID:10604	HMDB0000186
DOID:4890	HMDB0000187
DOID:10652	HMDB0000187
DOID:5419	HMDB0000187
DOID:1324	HMDB0000187
DOID:9970	HMDB0000187
DOID:0080076	HMDB0000187
DOID:0050723	HMDB0000187
DOID:0050724	HMDB0000187
DOID:0050722	HMDB0000187
DOID:9256	HMDB0000187
